2059 21761 16054 16138
2060 21872 16139 16144
2066 21881 16145 16180
2096 21928 16181 16329
2098 22148 16330 16371
2099 22203 16372 16402
2100 22239 16403 16472
2114 22334 -1 -1
2115 22335 16473 16476
2120 22343 16477 16556
2122 22455 16557 16626
2123 22537 16627 16749
2124 22714 16750 16840
2128 22824 16841 16958
2130 22976 16959 16979
2131 23003 16980 17018
2132 23055 17019 17059
2136 23112 17060 17133
2138 23221 17134 17222
2139 23371 17223 17263
2140 23441 17264 17358
2144 23592 17359 17564
2146 23925 17565 17589
2147 23958 17590 17590
2148 23960 17591 17649
2236 24040 -1 -1
2304 24041 17650 17690
2306 24092 17691 17862
2307 24358 17863 17948
2308 24477 17949 18185
2404 24851 -1 -1
2560 24852 -1 -1
2568 24853 18186 18224
2570 24903 18225 18262
2571 24950 18263 18460
2572 25239 18461 18732
2585 25667 18733 18748
2586 25684 18749 18810
2600 25770 18811 18827
2603 25795 18828 18839
2604 25809 18840 18971
2611 26007 -1 -1
2616 26008 18972 19004
2619 26046 19005 19062
2620 26113 19063 19183
2624 26262 19184 19193
2627 26275 19194 19228
2628 26324 19229 19294
2632 26416 19295 19381
2635 26529 19382 19402
2636 26557 19403 19476
2648 26674 19477 19531
2651 26741 19532 19597
2652 26821 19598 19618
2656 26846 19619 19686
2659 26943 19687 19736
2660 27016 19737 19749
2688 27031 19750 19830
2690 27141 19831 19883
2691 27207 19884 19955
2692 27289 19956 20098
2696 27598 20099 20100
2720 27601 20101 20104
2722 27606 20105 20155
2744 27674 20156 20194
2747 27723 -1 -1
2748 27724 20195 20281
2752 27846 20282 20297
2760 27868 20298 20319
2763 27901 20320 20406
2764 28017 20407 20565
2784 28316 20566 20597
2787 28353 20598 20653
2788 28428 20654 20749
2816 28555 20750 20780
2818 28596 20781 20906
2819 28775 20907 20957
2820 28828 20958 21013
2832 28894 21014 21074
2834 28974 21075 21093
2835 29000 21094 21111
2836 29028 21112 21121
2864 29041 21122 21135
2868 29061 21136 21249
2888 29214 21250 21278
2891 29253 21279 21334
2892 29325 21335 21406
2896 29425 21407 21429
2899 29455 21430 21431
2900 29460 21432 21477
2912 29513 21478 21593
2915 29710 21594 21600
2916 29720 21601 21695
3072 29855 -1 -1
3080 29856 21696 21730
3083 29900 21731 21739
3084 29912 21740 21765
3100 29953 21766 21833
3112 30078 21834 21846
3114 30095 21847 21927
3116 30283 21928 22020
3128 30453 22021 22037
3130 30477 22038 22116
3131 30596 22117 22152
3132 30643 22153 22190
3136 30693 22191 22267
3137 30796 -1 -1
3138 30797 22268 22389
3139 30974 -1 -1
3140 30975 22390 22422
3144 31032 22423 22487
3146 31115 22488 22554
3147 31208 22555 22572
3148 31233 22573 22640
3160 31324 22641 22652
3162 31339 22653 22722
3163 31429 22723 22741
3164 31457 22742 22756
3170 31477 22757 22787
3200 31513 22788 22824
3202 31564 22825 22906
3203 31664 22907 22964
3204 31754 22965 22990
3232 31786 22991 23018
3235 31827 23019 23129
3236 31975 -1 -1
3256 31976 23130 23154
3258 32003 23155 23228
3259 32098 23229 23236
3260 32109 23237 23293
3272 32197 23294 23473
3274 32499 23474 23566
3275 32623 23567 23575
3276 32633 -1 -1
3296 32634 23576 23620
3298 32686 23621 23694
3299 32783 23695 23713
3300 32812 23714 23720
3328 32820 23721 23735
3330 32837 23736 23847
3331 33002 23848 23913
3332 33109 23914 23924
3344 33122 23925 24042
3346 33294 24043 24054
3347 33307 24055 24063
3348 33324 24064 24086
3376 33355 24087 24170
3378 33479 24171 24184
3379 33496 24185 24190
3380 33503 24191 24266
3400 33603 24267 24268
3402 33606 24269 24290
3404 33640 24291 24291
3408 33642 24292 24308
3410 33666 24309 24321
3411 33683 -1 -1
3412 33684 24322 24328
